05-11-2023 	 11:26:51 	 f3de4a5f-692f-4750-b556-7786e4b35a87 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:27:44 	 773ead22-31b9-4e2e-8c6a-9ce39496f1ee 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:28:06 	 3f21b692-b88b-45b5-acfb-542256634cfe 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:28:55 	 b277d8c1-4f81-40f1-8f1c-9c62a94b6870 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:29:00 	 4df48431-90af-4cd6-94a1-cc8700e43afe 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:29:39 	 38088c45-c4c1-40dd-9e25-f73a81e7c95d 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:32:33 	 5bad52f5-bae2-451e-bb77-2311d5328dea 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:32:50 	 cc57ab9d-692b-41e7-89a6-fddc59ac5308 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:35:57 	 a21aa75a-c136-4d15-91c8-30d199cbae07 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:36:19 	 d6dc965f-941f-46e7-9775-912972cf254f 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:37:01 	 c539bbe6-a1cf-45fa-b607-a6b2f887f4bc 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:38:00 	 1819cc0b-9687-4eda-b4c9-85dc515201ce 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:40:28 	 fba9894f-e58a-432f-a91d-9b039d1bb85e 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:41:32 	 2e40f40b-ff90-4f06-a07d-53092122d085 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:41:37 	 91e4e209-b795-48ee-96f3-c93c2bd5851b 	 GET	undefined	/states/ks 
05-11-2023 	 11:47:24 	 5ba00136-c26f-48dc-848c-ea47e4e0be02 	 GET	undefined	/states/ks 
05-11-2023 	 11:48:17 	 9313c0ed-eb87-402d-8786-5135c25a9c5f 	 GET	undefined	/states/ks 
05-11-2023 	 11:50:38 	 d65c0161-c852-4b12-a114-f9560416aabf 	 GET	undefined	/states/ks 
05-11-2023 	 11:53:29 	 f19c06af-1b71-42e1-8b30-0e9797fc4e08 	 GET	undefined	/states/ks 
05-11-2023 	 11:54:25 	 a5331e27-4dca-4c62-a43b-6768991fe4a9 	 GET	undefined	/states/ks 
05-11-2023 	 12:00:03 	 8d9c374a-a978-4429-b1b0-59e32cf3749f 	 GET	undefined	/states/ks 
